section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,40,1749381187625972662,1749381187881924662,255,true,0.308955,0.379285
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,41,1749381187914087662,1749381188877894662,963,true,0.527819,0.406413
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,42,1749381188901897662,1749381190921914662,2020,true,0.355734,0.349641
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,43,1749381190945930662,1749381191225968662,280,true,0.419056,0.276371
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,44,1749381191266097662,1749381192025912662,759,true,0.608397,0.14721
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,45,1749381192054034662,1749381193890020662,1835,true,0.647466,0.145369
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,46,1749381193921919662,1749381194321908662,399,true,0.550035,0.240227
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,47,1749381194457923662,1749381194825944662,368,true,0.338649,0.377533
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,48,1749381194857871662,1749381196421885662,1564,true,0.401205,0.489616
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,49,1749381196457928662,1749381196777889662,319,true,0.331159,0.508155
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,50,1749381196837970662,1749381196989895662,151,true,0.361674,0.824591
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,51,1749381197017966662,1749381197305922662,287,true,0.266008,0.919758
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,52,1749381197357890662,1749381197785933662,428,true,0.33421,0.531626
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,53,1749381197981932662,1749381198025921662,43,false,0.211337,1.187787
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,54,1749381198049911662,1749381198221917662,172,false,0.213364,1.281344
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,55,1749381198305904662,1749381198449919662,144,true,0.408306,0.753381
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,56,1749381198477917662,1749381198549906662,71,true,0.363547,0.652403
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,57,1749381198661915662,1749381199645901662,983,false,0.636117,1.425311
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,59,1749381200337888662,1749381200541931662,204,true,0.511286,0.375013
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,60,1749381200569915662,1749381200889929662,320,true,0.653755,0.331748
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,61,1749381201097923662,1749381201189995662,92,true,0.751011,0.348513
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,62,1749381201401920662,1749381202586052662,1184,true,0.691067,0.365281
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,63,1749381202757886662,1749381203041870662,283,true,0.695339,0.412896
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,64,1749381203225916662,1749381203930130662,704,true,0.701127,0.339484
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,72,1749381206265911662,1749381206441937662,176,true,0.515495,0.224639
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,73,1749381207333920662,1749381208009907662,675,false,5.550856,-4.095616
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,74,1749381208153936662,1749381208297914662,143,false,2.269252,-0.955362
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,75,1749381208345919662,1749381208489892662,143,false,1.478993,-0.44046
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,76,1749381208657921662,1749381208705910662,47,true,0.722467,0.093687
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,77,1749381208737897662,1749381208977920662,240,true,0.530293,0.308587
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,78,1749381208997902662,1749381209821935662,824,true,0.480198,0.316031
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,79,1749381209965905662,1749381211441891662,1475,true,0.493357,0.308708
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,80,1749381211649952662,1749381212517920662,867,true,0.489171,0.306472
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,81,1749381212725927662,1749381212869928662,144,true,0.532544,0.340768
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,82,1749381212905939662,1749381213153898662,247,true,0.292346,0.261425
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,83,1749381213341933662,1749381213597955662,256,true,0.296053,0.284447
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,84,1749381213637929662,1749381213957958662,320,true,0.494579,0.395189
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,85,1749381213997924662,1749381215397900662,1399,true,0.323506,0.223911
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,87,1749381219649983662,1749381220189933662,539,true,0.213988,-0.009585
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,88,1749381220229988662,1749381222741966662,2511,true,0.680753,-0.177932
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,89,1749381222777994662,1749381223081902662,303,true,0.355453,0.059133
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,90,1749381223109946662,1749381223738156662,628,true,0.489571,0.122199
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,91,1749381223825906662,1749381224277934662,452,true,0.641437,0.167198
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,92,1749381224785928662,1749381225457910662,671,true,0.460505,0.250338
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,93,1749381226117909662,1749381226378154662,260,false,0.270987,1.169045
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,94,1749381226405899662,1749381226573948662,168,false,0.382207,1.154859
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,95,1749381226713906662,1749381227157986662,444,false,0.606759,1.271847
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,96,1749381227418448662,1749381227489930662,71,true,0.387109,0.408325
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,97,1749381227653887662,1749381227733921662,80,true,0.517993,0.206409
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,98,1749381227758015662,1749381228025940662,267,true,0.429277,0.279195
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,99,1749381228078048662,1749381228406173662,328,true,0.613908,0.26798
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,100,1749381228429937662,1749381229021931662,591,true,0.407562,0.292302
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,101,1749381229077915662,1749381229189941662,112,true,0.556941,0.646422
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,102,1749381229261937662,1749381229425881662,163,true,0.652165,1.066022
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,103,1749381229485909662,1749381230457913662,972,false,0.72977,1.421385
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,104,1749381230517932662,1749381230657916662,139,false,0.464709,1.350501
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,106,1749381231157935662,1749381231674035662,516,true,0.688288,0.070558
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,107,1749381231889911662,1749381231985905662,95,true,0.720489,0.275021
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,108,1749381232026042662,1749381232513928662,487,true,0.506537,0.304701
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,109,1749381232589911662,1749381232653899662,63,true,0.489191,0.41428
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,110,1749381232769986662,1749381234221909662,1451,true,0.482251,0.35251
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,111,1749381234402069662,1749381234541919662,139,true,0.630136,0.353876
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,112,1749381234701971662,1749381237257963662,2555,true,0.503232,0.318071
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,113,1749381237361923662,1749381237453926662,92,true,0.572365,0.526586
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,114,1749381237486122662,1749381238241909662,755,true,0.462051,0.437661
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,115,1749381238329980662,1749381238417873662,87,true,0.548157,0.526678
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,116,1749381238449888662,1749381239349922662,900,true,0.46188,0.404244
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,117,1749381239457916662,1749381239693924662,236,true,0.502204,0.517207
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,118,1749381239725906662,1749381240210003662,484,true,0.68157,0.503809
